"ID","Threat Name","IP Address Exemptions","Rule","CVE","Host","Category","Severity","Action","Packet Capture"
"33155","Lighttpd Mod_FastCGI Request Headers Remote Header Overflow Vulnerability","","Alert-All","CVE-2007-4727","client","overflow","high","default (reset-client)","disable"
"33157","Microsoft IE HTML Uninitialized Memory Corruption Vulnerability","","Alert-All","CVE-2010-0267","client","code-execution","critical","default (reset-both)","disable"
"33159","Microsoft Internet Explorer Invalid Pointer Remote Code Execution Vulnerability","","Alert-All","CVE-2010-0806","client","code-execution","high","default (reset-both)","disable"
"33160","HP OpenView Network Node Manager OvWebHelp.exe Buffer Overflow Vulnerability","","Alert-All","CVE-2009-4178","server","overflow","high","default (reset-server)","disable"
"33161","HP Power Manager formExportDataLogs Directory Traversal Vulnerability","","Alert-All","CVE-2009-4000","server","info-leak","medium","default (alert)","disable"
"33162","Apache HTTP Server mod_isapi Dangling Pointer Remote Code Execution Vulnerability","","Alert-All","CVE-2010-0425","server","code-execution","critical","default (reset-server)","disable"
"33163","Mozilla Skia Engine Integer Overflow Vulnerability","","Alert-All","CVE-2018-5159","client","overflow","critical","default (reset-both)","disable"
"33165","Apple QuickTime FlashPix File Buffer Overflow Vulnerability","","Alert-All","CVE-2009-2798","client","overflow","high","default (reset-both)","disable"
"33166","Apple Safari HTML Image Element Handling Use-After-Free Vulnerability","","Alert-All","CVE-2010-0054","client","code-execution","high","default (reset-both)","disable"
"33168","Adobe Reader U3D CLODMeshDeclaration Shading Count Buffer Overflow Vulnerability","","Alert-All","CVE-2010-0196","client","overflow","high","default (reset-both)","disable"
"33170","Adobe Reader U3D CLODMeshDeclaration Shading Count Buffer Overflow Vulnerability","","Alert-All","CVE-2009-2990","client","code-execution","high","default (reset-both)","disable"
"33173","Microsoft Office Security Feature Bypass Vulnerability","","Alert-All","CVE-2016-7262","client","code-execution","high","default (reset-both)","disable"
"33174","Google Chrome File Type Security Bypass Vulnerability","","Alert-All","CVE-2009-3931","client","info-leak","medium","default (alert)","disable"
"33175","FFmpeg vmd_read_header Integer Overflow Vulnerability","","Alert-All","","client","overflow","medium","default (alert)","disable"
"33177","FFmpeg OGV File Format Memory Corruption Vulnerability","","Alert-All","","client","code-execution","medium","default (alert)","disable"
"33179","OpenOffice Word Document Table Parsing sprmTDelete Record Heap Based Buffer Overflow Vulnerability","","Alert-All","CVE-2009-0201","client","code-execution","high","default (reset-client)","disable"
"33194","HTTP Directory Traversal Request Attempt","","Alert-All","","server","info-leak","low","default (alert)","disable"
"33195","Sun Java Web Start Splashscreen PNG Parsing Buffer Overflow","","Alert-All","CVE-2009-1097,CVE-2009-1098","client","overflow","high","default (reset-both)","disable"
"33199","Adobe Flash Player Remote Memory Corruption Vulnerability","","Alert-All","CVE-2010-1297","client","code-execution","critical","default (reset-client)","disable"
"33200","Adobe Flash Player Remote Memory Corruption Vulnerability","","Alert-All","CVE-2010-1297","client","code-execution","critical","default (reset-client)","disable"
"33201","Microsoft Windows Media Decompression Vulnerability","","Alert-All","CVE-2010-1879","client","overflow","critical","default (reset-both)","disable"
"33202","Microsoft Windows Mjpeg Media Decompression Vulnerability","","Alert-All","CVE-2010-1880","client","code-execution","critical","default (reset-both)","disable"
"33203","Microsoft .NET XML Signature HMAC Truncation Authentication Bypass Vulnerability","","Alert-All","CVE-2009-0217","client","info-leak","medium","default (alert)","disable"
"33204","Microsoft Windows Cumulative Security Update of ActiveX Kill Bits","","Alert-All","CVE-2010-0811","client","code-execution","critical","default (reset-both)","disable"
"33205","Microsoft Excel EDG Memory Corruption Vulnerability","","Alert-All","CVE-2010-1250","client","overflow","high","default (reset-both)","disable"
"33206","Microsoft Excel SxView Record Parsing Memory Corruption Vulnerability","","Alert-All","CVE-2010-0821","client","code-execution","high","default (reset-both)","disable"
"33207","Microsoft Excel Record Stack Corruption Vulnerability","","Alert-All","CVE-2010-1251","client","code-execution","high","default (reset-both)","disable"
"33208","Microsoft Excel String Variable Parsing Memory Corruption Vulnerability","","Alert-All","CVE-2010-1252","client","code-execution","high","default (reset-both)","disable"
"33209","Microsoft Excel ADO Object Memory Corruption Vulnerability","","Alert-All","CVE-2010-1253","client","code-execution","high","default (reset-both)","disable"
"33210","Microsoft Excel Malformed Record Parsing Memory Corruption Vulnerability","","Alert-All","CVE-2010-0822","client","code-execution","high","default (reset-both)","disable"
"33211","Microsoft Excel Chart Sheet Parsing Memory Corruption Vulnerability","","Alert-All","CVE-2010-0823","client","code-execution","high","default (reset-both)","disable"
"33212","Microsoft Excel WOpt Record Parsing Memory Corruption Vulnerability","","Alert-All","CVE-2010-0824","client","code-execution","high","default (reset-both)","disable"
"33213","Microsoft Excel SxView Record Parsing Memory Corruption Vulnerability","","Alert-All","CVE-2010-1245","client","code-execution","high","default (reset-both)","disable"
"33214","Internet Explorer Security Zone Bypass  Vulnerability","","Alert-All","CVE-2010-0255","client","code-execution","critical","default (reset-client)","disable"
"33215","Microsoft Excel HFPicture Record Parsing Memory Corruption Vulnerability","","Alert-All","CVE-2010-1248","client","code-execution","high","default (reset-both)","disable"
"33216","Microsoft Excel External Name Record Parsing Memory Corruption Vulnerability","","Alert-All","CVE-2010-1249","client","code-execution","high","default (reset-both)","disable"
"33217","Microsoft Excel RealTimeData Record Parsing Memory Corruption Vulnerability","","Alert-All","CVE-2010-1246","client","code-execution","high","default (reset-both)","disable"
"33218","Microsoft Excel RealTimeData Record Parsing Memory Corruption Vulnerability","","Alert-All","CVE-2010-1247","client","code-execution","high","default (reset-both)","disable"
